created_at,id_str,text
Mon Apr 23 21:17:11 +0000 2018,988527225237590016,b'I Have 2 Arsenal Vs Athletico Tickets Message Me If Interested Need Gone ASAP. #ArsenalTickets'
Mon Apr 23 21:17:11 +0000 2018,988527225057218561,b'RT @LFC: Two cities. Two teams. One massive Champions League tie. Liverpool v AS Roma. https://t.co/WSwmKezN3i'
Mon Apr 23 21:17:11 +0000 2018,988527226206478338,"b""RT @donkopleone: Always a bit of an anticlimax when the PFA winner can't speak English very well and so struggles with the interview after\xe2\x80\xa6"""
Mon Apr 23 21:17:11 +0000 2018,988527228437835776,b'@bunnie_hime I have a strict no spending real money policy so all the rare servents I have I got with free saint qu\xe2\x80\xa6 https://t.co/gJwIZbGOi8'
Mon Apr 23 21:17:12 +0000 2018,988527229754855426,b'RT @ellis_platten: I love this game. https://t.co/DsSR0Pzt0l'
Mon Apr 23 21:17:12 +0000 2018,988527230027485184,b'RT @ghadabisar: Mo salah Mo salah the Egyptian king \xe2\x9d\xa4 https://t.co/HtllRM3vD6'
Mon Apr 23 21:17:12 +0000 2018,988527230966956032,b'Andr\xc3\xa9s Iniesta begins glorious goodbye as an era draws to a close | Sid Lowe https://t.co/4M8HPu6Z76'
Mon Apr 23 21:17:12 +0000 2018,988527232149749760,b'RT @FootballVines: The moment Napoli fans &amp; Juventus fans met each other down the same street in Turin. \xf0\x9f\x98\x82\n\n(\xf0\x9f\x93\xb9 IG/trollserieatim @IFTVoffici\xe2\x80\xa6'
Mon Apr 23 21:17:12 +0000 2018,988527231956811776,b'RT @PoliticalShort: Past attacks involving vehicles:\n\n2016 France - Rental cargo truck\n\n2016 Berlin Xmas Market - Hijacked truck\n\n2017 Lond\xe2\x80\xa6'
Mon Apr 23 21:17:13 +0000 2018,988527234108612608,"b'RT @MelissaReddy_: J\xc3\xbcrgen Klopp on supporters: ""In the stadium do it again even better. Outside the stadium show the respect we have to sh\xe2\x80\xa6'"
Mon Apr 23 21:17:14 +0000 2018,988527238407651328,b'He\xe2\x80\x99s no Glenn Hoddle \xf0\x9f\x98\x82 https://t.co/XSnso3EVyl'
Mon Apr 23 21:17:14 +0000 2018,988527240135790592,"b""RT @brfootball: Mohamed Salah's FIFA rating has gone from 83 to 98 this season \xf0\x9f\x92\xaf https://t.co/KhqBIEchza"""
Mon Apr 23 21:17:14 +0000 2018,988527241222029313,b'RT @SkySportsMNF: REPORT: An early second-half strike from @TheoWalcott was enough for @Everton to beat @NUFC 1-0 in the Premier League on\xe2\x80\xa6'
Mon Apr 23 21:17:15 +0000 2018,988527244007170048,b'RT @flexunitedstand: Arteta for Arsenal could be a Moyes situation for them x10 \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\xa4\xa3'
Mon Apr 23 21:17:15 +0000 2018,988527242715295744,"b""@LFC @22mosalah @PFA Mohamed Salah's brother https://t.co/YeKl27T2D7"""
Mon Apr 23 21:17:15 +0000 2018,988527244741136384,b'RT @TempoOfXavi: Plays like Iniesta and idolizes Xavi? This kid is a confirmed GOAT. https://t.co/3UK5KIVDFS'
Mon Apr 23 21:17:15 +0000 2018,988527245009608704,b'Arsenal Chief Wants Former Midfielder &amp; Man City Assistant Coach to Replace Arsene\xc2\xa0Wenger https://t.co/3iqQteuZHz'
Mon Apr 23 21:17:16 +0000 2018,988527246905405446,b'RT @StigAbell: Juventus and Napoli fans see each other in a narrow street. Enjoy what happens next... https://t.co/Qcmpv2MLZa'
Mon Apr 23 21:17:16 +0000 2018,988527249564622849,b'RT @FCBarcelonaFl: \xf0\x9f\x92\xb0\xf0\x9f\x92\xb6 Top gross earning players for the 2017-18 season (in euros)\n\nLionel Messi 126M\nCristiano Ronaldo 94M\nNeymar 81.5M\nGar\xe2\x80\xa6'
Mon Apr 23 21:17:16 +0000 2018,988527249602334720,b'Isle of Dogs: charming humorous Wesley Anderson to a T. Also I LOVE DOGS = Isle of Dogs HMMMMM https://t.co/JuL8yRmxyg'
Mon Apr 23 21:17:17 +0000 2018,988527252156567553,b'RT @ArsenalohoIic: Arteta or Vieira will NOT be appointed as the new Arsenal manager from what I can understand.'
Mon Apr 23 21:17:17 +0000 2018,988527252018221057,b'@ArsenalFanTV as a pep understudy there is growing confidence but as a coach a club as big as arsenal can only wait to see.'
Mon Apr 23 21:17:17 +0000 2018,988527252336979968,b'RT @LFC: Two cities. Two teams. One massive Champions League tie. Liverpool v AS Roma. https://t.co/WSwmKezN3i'
Mon Apr 23 21:17:17 +0000 2018,988527252492124161,b'Proud \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe https://t.co/h3ugX9RXt2'
Mon Apr 23 21:17:17 +0000 2018,988527254102855682,"b""Wasn't appreciated half enough \xf0\x9f\x91\x91\xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\xe2\x9a\xab\xef\xb8\x8f https://t.co/1VvERJE535"""
Mon Apr 23 21:17:18 +0000 2018,988527254731919360,b'am I the only gay that has never owned a pair chelsea boots? lol'
Mon Apr 23 21:17:18 +0000 2018,988527254933327873,"b""RT @4dger: If you're greeting the team buses in Liverpool tomorrow show Roma the same respect they showed us. \n\nhttps://t.co/yCsZcN1xk3\n\n\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x80\xa6"""
Mon Apr 23 21:17:18 +0000 2018,988527254752972800,b'RT @brfootball: Serie A players are wearing red marks on their faces this weekend as part of a campaign to raise awareness on violence agai\xe2\x80\xa6'
Mon Apr 23 21:17:18 +0000 2018,988527256111910912,"b""RT @Nick_732: Nice London Paris Stockholm Berlin Barcelona New York &amp; now Toronto \n\nNo matter how high the Butcher's Bill gets nothin\xe2\x80\xa6"""
Mon Apr 23 21:17:18 +0000 2018,988527258162941952,b'RT @Stillberto: https://t.co/LffQndVvGI? I wrote something for @FourFourTwo on why I think Arsenal fans might still have to be patient in t\xe2\x80\xa6'
Mon Apr 23 21:17:19 +0000 2018,988527259136004098,b'You are hopefully not basing your argument on the fact that Manure players were on more money therefore got to the\xe2\x80\xa6 https://t.co/VW4LkCmIPW'
Mon Apr 23 21:17:19 +0000 2018,988527261069467648,"b""RT @LFCTransferRoom: READ\xf0\x9f\x97\x9e| By @LovingLallana \n\nThere's No Noise Like The Anfield Noise\n\n\xf0\x9f\x94\xb4Welcoming The Team\n\xf0\x9f\x8e\xa4You'll Never Walk Alone\n\xf0\x9f\x93\xa3Powe\xe2\x80\xa6"""
Mon Apr 23 21:17:19 +0000 2018,988527261610594307,"b""RT @dhe_Mechanic: Mo Salah is winning the Balon D'or if Liverpool wins the champions League."""
Mon Apr 23 21:17:20 +0000 2018,988527262755577858,b'RT @paddypower: Mo Salah has won the PFA Player of the year African Player of the Year scored the penalty that sent Egypt to the World Cu\xe2\x80\xa6'
Mon Apr 23 21:17:20 +0000 2018,988527262935887872,b'RT @Sporf: \xe2\xac\x87\xef\xb8\x8f Next 2 Weeks:\n\n\xf0\x9f\x93\x85 April\n\xe2\x9a\xbd\xef\xb8\x8f 24th - L\xe2\x80\x99pool v Roma\n\xe2\x9a\xbd\xef\xb8\x8f 25th - Bayern v Real \n\xe2\x9a\xbd\xef\xb8\x8f 26th - Arsenal v Atletico\n\xe2\x9a\xbd\xef\xb8\x8f 29th - Utd v Arsenal\xe2\x80\xa6'
Mon Apr 23 21:17:19 +0000 2018,988527262503981057,b'RT @Sporf: \xf0\x9f\x87\xae\xf0\x9f\x87\xb9 Serie A players wore red marks on their faces last weekend.\n\n\xe2\x9a\xa0\xef\xb8\x8f To raise awareness on violence against women.\n\n\xf0\x9f\x91\x8f Fantastic ca\xe2\x80\xa6'
Mon Apr 23 21:17:20 +0000 2018,988527262743121922,b'RT @StigAbell: Juventus and Napoli fans see each other in a narrow street. Enjoy what happens next... https://t.co/Qcmpv2MLZa'
Mon Apr 23 21:17:20 +0000 2018,988527262982197249,b'RT @OfficialASRoma: \xf0\x9f\x93\x8d Liverpool \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf\n\n#ASRoma #LFCRoma #UCL https://t.co/YaGIJyGi3C'
Mon Apr 23 21:17:20 +0000 2018,988527263913144320,b'And second of all... and third of all.. and... https://t.co/gtM3X7Wtro'
Mon Apr 23 21:17:20 +0000 2018,988527263934238720,b'We caught up with @BuckinBoston today to talk Red Sox Bruins and the late Gil Santos \nhttps://t.co/jpJLIcQPex'
Mon Apr 23 21:17:20 +0000 2018,988527265515560965,b'RT @bokamotoESPN: UFC heavyweight Junior dos Santos is cleared to compete again effective immediately. USADA has confirmed his failed drug\xe2\x80\xa6'
Mon Apr 23 21:17:21 +0000 2018,988527267251863552,b'@J_1988_J Too many soft arses crying about what UEFA the club and the media will think. Fuck them we are Liverpool\xe2\x80\xa6 https://t.co/wCRncLTSc4'
Mon Apr 23 21:17:21 +0000 2018,988527267549593601,b'RT @AustralisTerry: Narrabri coal seam gas Project is \xe2\x80\x9cA clever way to extract energy without coal mining\xe2\x80\x9d says  CEO @SantosLtd Kevin Galla\xe2\x80\xa6'
Mon Apr 23 21:17:21 +0000 2018,988527268552151040,"b""Everton did bore Newcastle into submission tonight. Hard to believe they share a city with Liverpool FC. They've le\xe2\x80\xa6 https://t.co/9xl7nJ0wbs"""
Mon Apr 23 21:17:21 +0000 2018,988527268854140928,b'RT @rogerwaters: UNBELIEVABLE SECOND SOLD OUT SHOW IN BOLOGNA!! EXCITED FOR 2 MORE! @UnipolArena #usandthemtour #rogerwaters https://t.co/h\xe2\x80\xa6'
Mon Apr 23 21:17:21 +0000 2018,988527269332348929,"b""RT @piersmorgan: Salah's a more complete player than Ronaldo was at United. https://t.co/ljQ1xM54Gw"""
Mon Apr 23 21:17:21 +0000 2018,988527270187892736,"b'RT @Barcagurl_: Ronaldo fans: \n""You cant compare Salah to Ronaldo at United Ronaldo was much more than a goalscorer""\n\nRonaldo fans also;\xe2\x80\xa6'"
Mon Apr 23 21:17:21 +0000 2018,988527270141755394,b'Isabelle de Santos is grounded and her dad has warned her that if he\xe2\x80\xa6! #Sex &gt;&gt; https://t.co/YgUTdEKhro &lt;&lt; https://t.co/viGNIe0904'
Mon Apr 23 21:17:22 +0000 2018,988527273904148480,"b""RT @PFA: Congratulations to @LFC's Mo Salah crowned the Men\xe2\x80\x99s PFA Players\xe2\x80\x99 Player of the Year \xf0\x9f\x91\x8f\xf0\x9f\x8f\x86 #PFAAwards https://t.co/fpvxwZgfdP"""
Mon Apr 23 21:17:23 +0000 2018,988527277129502720,b'RT @ExploreLpool: \xf0\x9f\x93\xb8 | Ferry across the Mersey during sunset. \n\nPhoto by @Snackophagus \nhttps://t.co/C8Q1so8MfX https://t.co/02vXcmVc4R'
Mon Apr 23 21:17:23 +0000 2018,988527277800673280,"b""RT @ManCityArmy1894: I hate Manchester United because I'm a Manchester City fan I hate Liverpool because I'm a human being"""
Mon Apr 23 21:17:24 +0000 2018,988527279386087425,"b""RT @mikesanz19: Wenger after Arsenal start smashing teams as soon as he says he's stepping down.. https://t.co/GN9aHLITKY"""
Mon Apr 23 21:17:24 +0000 2018,988527280359116802,"b'RT @goal: ""It was something in the stars. Arsene for Arsenal.""\n\n""He transformed the whole of English football.""\n\nFergie vs Wenger: The Feud\xe2\x80\xa6'"
Mon Apr 23 21:17:24 +0000 2018,988527280979881984,b'Like mother like daughter...DRUNK! Chelsea Clinton FURIOUS over this \xe2\x80\x9celection night\xe2\x80\x9d report\xe2\x80\xa6 https://t.co/u4vYNzRy5N'
Mon Apr 23 21:17:24 +0000 2018,988527281483206657,"b""RT @brfootball: One year ago today.\n\nMessi.\nEl Bernabeu.\n90+1' https://t.co/nzrX68gTvT"""
Mon Apr 23 21:17:24 +0000 2018,988527282116579328,b'OFFICIAL: The FA have apologised to both Tottenham Hotspur and Manchester United following their Chris Smalling &amp; H\xe2\x80\xa6 https://t.co/z0WOD6uGp7'
Mon Apr 23 21:17:24 +0000 2018,988527281944526848,"b""@KennedyStuart90 Pep said his freshness and ideas were integral to city's improvement this year.. High praise for s\xe2\x80\xa6 https://t.co/iBXav1BwAp"""
Mon Apr 23 21:17:24 +0000 2018,988527283261489152,b'RT @LFCTransferRoom: Just a heads up there\xe2\x80\x99s been some confusion with the source. Pallotta spoke to @SkySports but the report was from @Met\xe2\x80\xa6'
Mon Apr 23 21:17:25 +0000 2018,988527284041715712,b'RT @EPLBible: Knocked Barcelona out &amp; then took their sponsor... \xf0\x9f\x90\xba\xf0\x9f\x92\xaa https://t.co/IgUzB582kZ'
Mon Apr 23 21:17:25 +0000 2018,988527287430676480,b'RT @NketiahEra: Best Friends Turned Rivals.\n\n@Arsenal vs @atletienglish https://t.co/SyPQjkz1Ie'
Mon Apr 23 21:17:26 +0000 2018,988527288760324097,b'RT @SuperSportTV: \xf0\x9f\x94\xb4 Manchester United vs Chelsea \xf0\x9f\x94\xb5\n\xf0\x9f\x8f\x86 #EmiratesFACupFinal \n\xf0\x9f\x97\x93\xef\xb8\x8f Saturday May 19\n\xf0\x9f\x93\xba LIVE on SS3 on @DStv Now https://t.co/hFQzb\xe2\x80\xa6'
Mon Apr 23 21:17:26 +0000 2018,988527289376870400,b'#FM18 - S3 - EP12 - NUFC have just two remaining games. First up Chelsea! Then finally we travel to Spurs! Can we\xe2\x80\xa6 https://t.co/R3qnna6jKS'
Mon Apr 23 21:17:26 +0000 2018,988527290148519936,b'RT @LFC: Two cities. Two teams. One massive Champions League tie. Liverpool v AS Roma. https://t.co/WSwmKezN3i'
Mon Apr 23 21:17:26 +0000 2018,988527289880203272,b'Drinkwater Luiz - latest Chelsea injury news and expected return dates https://t.co/Yo6pvhOERd'
Mon Apr 23 21:17:26 +0000 2018,988527290840739840,"b""RT @channel5_tv: 'It felt like you were going to war.' The Arsenal and Man Utd players remember the unforgettable 1999 FA Cup Semi final. C\xe2\x80\xa6"""
Mon Apr 23 21:17:26 +0000 2018,988527291176235008,b'New Arsenal manager with Missimiliano Allegri. https://t.co/Tm2OJdaWqU'
Mon Apr 23 21:17:26 +0000 2018,988527291885080576,b'RT @GeoffDowns: There a certain @donhutch4 on the list \xe2\x9a\x92 https://t.co/oKBzG53b2u'
Mon Apr 23 21:17:27 +0000 2018,988527292270948358,b'@AeceusSC @YimaJoash @GeekyFreak81 @piersmorgan Difference CR7 did it time and time again! Season after season! Bi\xe2\x80\xa6 https://t.co/w02K3dQpp4'
Mon Apr 23 21:17:27 +0000 2018,988527292979732480,b'RT @indiantweeter: Brilliant investigative story by @rightlog_in ... Faith healer Aiyaz Ahmad sheikh molests young boys in the name of fait\xe2\x80\xa6'
Mon Apr 23 21:17:27 +0000 2018,988527294196125697,b'RT @elspanishgooner: You are truly a danger to society it wasn\xe2\x80\x99t enough to hack a dead girls phone now you have to keep an agenda alive ag\xe2\x80\xa6'
Mon Apr 23 21:17:27 +0000 2018,988527294510780416,b'RT @IFTVofficial: This is what happens when Napoli fans &amp; Juventus fans walk down the same street in Torino \xf0\x9f\x98\x82\n\n\xf0\x9f\x93\xbd\xef\xb8\x8f IG/trollserieatim https:/\xe2\x80\xa6'
Mon Apr 23 21:17:27 +0000 2018,988527294397472773,b'RT @LivEchonews: Pope Francies has spoken again\nhttps://t.co/zJrHOVoP5e'
Mon Apr 23 21:17:27 +0000 2018,988527294871490560,b'RT @BarcaUniversal: Barcelona are just a single point away from winning the league which will be the clubs 94th trophy more than any othe\xe2\x80\xa6'
Mon Apr 23 21:17:27 +0000 2018,988527295781638145,b'RT @jiiidar: Mo Salah ........ The Egyptian King  \xf0\x9f\x92\x99\n@22mosalah https://t.co/Oigf6UsK9w'
Mon Apr 23 21:17:27 +0000 2018,988527296104542208,b'RT @PeterStefanovi2: Quite understandable if your party\xe2\x80\x99s policies were responsible for over 4 Million kids living in poverty sending a m\xe2\x80\xa6'
Mon Apr 23 21:17:28 +0000 2018,988527296997969920,"b""RT @AdamJosephSport: Thought J\xc3\xbcrgen Klopp's conduct in the wake of Liverpool's 2-2 draw with West Brom was disrespectful AF. These comments\xe2\x80\xa6"""
Mon Apr 23 21:17:28 +0000 2018,988527298524540928,b'Spain: Devout Muslims planned to film beheading and attack police banks and Jews in Barcelona - Geller Report https://t.co/xqqe52RE1V'
Mon Apr 23 21:17:29 +0000 2018,988527301351624704,"b""RT @PFA: Congratulations to @LFC's Mo Salah crowned the Men\xe2\x80\x99s PFA Players\xe2\x80\x99 Player of the Year \xf0\x9f\x91\x8f\xf0\x9f\x8f\x86 #PFAAwards https://t.co/fpvxwZgfdP"""
Mon Apr 23 21:17:29 +0000 2018,988527301796098048,b'RT @PatrickTimmons1: Wenger on leaving Arsenal: \xe2\x80\x9cIt\xe2\x80\x99s like you have children and you want them to be happy in their lives even if you will\xe2\x80\xa6'
Mon Apr 23 21:17:29 +0000 2018,988527302295289862,b'RT @prospect_uk: Matters of confidence: How prime ministers lost one of the biggest weapons in their parliamentary arsenal https://t.co/CCZ\xe2\x80\xa6'
Mon Apr 23 21:17:29 +0000 2018,988527302668668930,b'RT @danmckay1987: @BBCMOTD Probably the best player the premier league has seen for at least 10 years. Incredible season!'
Mon Apr 23 21:17:29 +0000 2018,988527302597324801,b'Sitting watching #TheFued on @channel5_tv. Reliving one of the greatest rivalries in football between @Arsenal and\xe2\x80\xa6 https://t.co/qIUveZKy8q'
Mon Apr 23 21:17:29 +0000 2018,988527302765146118,b'RT @maferniembro_: *Netflix Francia \xf0\x9f\x99\x83 https://t.co/B9dIeG8oK5'
